Question,Response
எப்படி இருக்கிறீர்கள்,நான் நன்றாக இருக்கிறேன்
நகரங்கள்,சேலம்
,நாமக்கல்
,காஞ்சிபுரம்
,தஞ்சாவூர்
,திருவண்ணாமலை
காஞ்சிபுரம் கோயில்கள்,சோழீஸ்வரர் கோவில்
,திருமேற்றாளி நாதர் கோவில்
,முக்தீஸ்வரர் கோவில்
,காளத்தீஸ்வரர் கோவில்
,கைலாசநாதர் கோவில்
,ஏகாம்பரநாதர் கோவில்
,காஞ்சி காமாட்சி அம்மன் கோவில்
சேலம் கோவில்கள்,கந்தசாமி கோவில்
,கோட்டை மாரியம்மன் கோவில்
,ஊத்துமலை – சத்ய நாராயண சித்தர் பீடம்
,அழகிரிநாதர் கோவில்
,ஸ்ரீ சுகுவனேஸ்வரா ஆலயம்
,உத்தம சோழபுரம்
,தந்தோத்ரீஸ்வரர் கோவில்
காஞ்சிபுரத்தில் உள்ள பரிஹார ஸ்தலங்கள் யாவை,சந்திரேஸ்வரர் கோவில்
,செவந்தீஸ்வரர் கோவில்
,சத்யநாதஐஸ்வரர் - திருக்காலிமேடு கோவில்
,சுக்ரீஸ்வரர் கோவில்
,காயாரோஹனேஸ்வரர் கோவில்
,மணிகண்டேஸ்வரர் கோவில்
,மஹாலேஸ்வரர் கோவில்
,ஆனந்தபத்மநாபேஸ்வரர் கோவில்
பூஜை எப்போது நடைபெறுகின்றது,பூஜை விஶேஷ நாட்களில் அல்லது பிற நேரத்தில் நடைபெறுகின்றது.
கோயிலில் என்ன பிரசாதம் கிடைக்கும்,"கோயிலில் கிடைக்கும் பிரசாதங்கள் பல வகைகள் உள்ளன. அவற்றில் சில: தீர்த்தம், விபூதி, குங்குமம், அர்ச்சனை பிரசாதம், அலங்கார பிரசாதம், ஆராதனை பிரசாதம், பூஜை பிரசாதம், திருமஞ்சனம், பஞ்சாமிர்தம், கற்பூரம், சந்தனம், வில்வம், தூலசி, அருகம்புல்."
கோயிலுக்கு செல்லும் போது என்ன செய்ய வேண்டும்,"கோயிலுக்கு செல்லும் முன், மனதையும் உடலையும் சுத்தம் செய்து கொள்ள வேண்டும். கோயிலுக்குள் நுழையும்போது, இறைவனை வணங்க வேண்டும். கோயிலுக்குள் செருப்புகளை கழற்றிவிட வேண்டும். கோயிலுக்குள் குரலாக பேசக்கூடாது. கோயிலுக்குள் ஓடக்கூடாது. கோயிலுக்குள் அசுத்தமான உடைகளை அணிந்து செல்லக்கூடாது. கோயிலுக்குள் புகைபிடிக்கவோ மது அருந்தவோ கூடாது. கோயிலில் இறைவனுக்கு அபிஷேகம், அலங்காரம், ஆராதனை போன்றவற்றை செய்யலாம். கோயிலில் தரிசனம் முடிந்ததும், இறைவனை வணங்கிவிட்டு வெளியேற வேண்டும்."
கோயிலில் நான் என்ன வேண்டலாம்,"கோயிலில் நீங்கள் எதையும் வேண்டலாம். ஆனால், நல்லவற்றையே வேண்ட வேண்டும். உங்கள் வாழ்வில் நல்லது நடக்க வேண்டும், உங்கள் குடும்பத்தில் அமைதி இருக்க வேண்டும், உங்கள் உறவுகளில் அன்பு இருக்க வேண்டும், உங்கள் பணி வாழ்வில் வெற்றிபெற வேண்டும் போன்றவற்றை வேண்டலாம்."
கோயிலில் நான் எப்படி நன்கொடை அளிக்கலாம்,"கோயிலில் நன்கொடை அளிக்க பல வழிகள் உள்ளன. அவற்றில் சில: கோயில் அலுவலகத்தில் நேரடியாக பணமாக நன்கொடை அளிக்கலாம். கோயிலுக்கு செல்லும்போது, கோயில் குருமார்களிடம் நன்கொடை அளிக்கலாம். கோயிலின் வலைத்தளம் மூலம் ஆன்லைனில் நன்கொடை அளிக்கலாம். கோயிலுக்கு சொந்தமான வங்கிக் கணக்கில் நன்கொடை அளிக்கலாம்."
கோயிலில் நான் எப்படி பணிபுரியலாம்,"கோயிலில் பணிபுரிய விரும்பினால், கோயில் அலுவலகத்தை தொடர்பு கொள்ளவும். கோயிலின் தேவைகளுக்கு ஏற்ப, உங்களுக்கு பணி வழங்கப்படும்."
default_response,அதற்கு எப்படி பதிலளிப்பது என்று தெரியவில்லை.
Question,Response
வணக்கம்,"வணக்கம், நான் உங்களுக்கு எப்படி உதவ முடியும்"
எப்படி இருக்கிறீர்கள்,நான் நன்றாக இருக்கிறேன்
நகரங்கள்," சேலம்
நாமக்கல்
காஞ்சிபுரம்
தஞ்சாவூர்
திருவண்ணாமலை"
காஞ்சிபுரம் கோயில்கள்,"==>சோழீஸ்வரர் கோவில்
==>திருமேற்றாளி நாதர் கோவில்
==> முக்தீஸ்வரர் கோவில்
==> காளத்தீஸ்வரர் கோவில்
==> கைலாசநாதர் கோவில்
==> ஏகாம்பரநாதர் கோவில்
==> காஞ்சி காமாட்சி அம்மன் கோவில்"
சேலம் கோவில்கள்,"==>கந்தசாமி கோவில்
==> கோட்டை மாரியம்மன் கோவில்
==> ஊத்துமலை – சத்ய நாராயண சித்தர் பீடம்
==> அழகிரிநாதர் கோவில்
==> ஸ்ரீ சுகுவனேஸ்வரா ஆலயம்
==> உத்தம சோழபுரம்
==> தந்தோத்ரீஸ்வரர் கோவில்"
காஞ்சிபுரத்தில் உள்ள பரிஹார ஸ்தலங்கள் யாவை,"பருத்தீஸ்வரர் கோவில்
==> சந்திரேஸ்வரர் கோவில்
==> செவந்தீஸ்வரர் கோவில்
==> சத்யநாதஐஸ்வரர் - திருக்காலிமேடு கோவில்
==> சுக்ரீஸ்வரர் கோவில்
==> காயாரோஹனேஸ்வரர் கோவில்
==> மணிகண்டேஸ்வரர் கோவில்
==> மஹாலேஸ்வரர் கோவில்
==> ஆனந்தபத்மநாபேஸ்வரர் கோவில்"
பூஜை எப்போது நடைபெறுகின்றது,பூஜை விஶேஷ நாட்களில் அல்லது பிற நேரத்தில் நடைபெறுகின்றது. 
கோயிலில் என்ன பிரசாதம் கிடைக்கும்,"கோயிலில் கிடைக்கும் பிரசாதங்கள் பல வகைகள் உள்ளன. அவற்றில் சில: தீர்த்தம், விபூதி, குங்குமம், அர்ச்சனை பிரசாதம், அலங்கார பிரசாதம், ஆராதனை பிரசாதம், பூஜை பிரசாதம், திருமஞ்சனம், பஞ்சாமிர்தம், கற்பூரம், சந்தனம், வில்வம், தூலசி, அருகம்புல்."
கோயிலுக்கு செல்லும் போது என்ன செய்ய வேண்டும்,"கோயிலுக்கு செல்லும் முன், மனதையும் உடலையும் சுத்தம் செய்து கொள்ள வேண்டும். கோயிலுக்குள் நுழையும்போது, இறைவனை வணங்க வேண்டும். கோயிலுக்குள் செருப்புகளை கழற்றிவிட வேண்டும். கோயிலுக்குள் குரலாக பேசக்கூடாது. கோயிலுக்குள் ஓடக்கூடாது. கோயிலுக்குள் அசுத்தமான உடைகளை அணிந்து செல்லக்கூடாது. கோயிலுக்குள் புகைபிடிக்கவோ மது அருந்தவோ கூடாது. கோயிலில் இறைவனுக்கு அபிஷேகம், அலங்காரம், ஆராதனை போன்றவற்றை செய்யலாம். கோயிலில் தரிசனம் முடிந்ததும், இறைவனை வணங்கிவிட்டு வெளியேற வேண்டும்."
கோயிலில் நான் என்ன வேண்டலாம்,"கோயிலில் நீங்கள் எதையும் வேண்டலாம். ஆனால், நல்லவற்றையே வேண்ட வேண்டும். உங்கள் வாழ்வில் நல்லது நடக்க வேண்டும், உங்கள் குடும்பத்தில் அமைதி இருக்க வேண்டும், உங்கள் உறவுகளில் அன்பு இருக்க வேண்டும், உங்கள் பணி வாழ்வில் வெற்றிபெற வேண்டும் போன்றவற்றை வேண்டலாம்."
கோயிலில் நான் எப்படி நன்கொடை அளிக்கலாம்,"கோயிலில் நன்கொடை அளிக்க பல வழிகள் உள்ளன. அவற்றில் சில: கோயில் அலுவலகத்தில் நேரடியாக பணமாக நன்கொடை அளிக்கலாம். கோயிலுக்கு செல்லும்போது, கோயில் குருமார்களிடம் நன்கொடை அளிக்கலாம். கோயிலின் வலைத்தளம் மூலம் ஆன்லைனில் நன்கொடை அளிக்கலாம். கோயிலுக்கு சொந்தமான வங்கிக் கணக்கில் நன்கொடை அளிக்கலாம்."
கோயிலில் நான் எப்படி பணிபுரியலாம்,"கோயிலில் பணிபுரிய விரும்பினால், கோயில் அலுவலகத்தை தொடர்பு கொள்ளவும். கோயிலின் தேவைகளுக்கு ஏற்ப, உங்களுக்கு பணி வழங்கப்படும்."
default_response,அதற்கு எப்படி பதிலளிப்பது என்று தெரியவில்லை.
